"","Test Values: Victim Total","Test Predictions: Victim Total"
"2061",23,44.28785
"2076",64,46.8986371572872
"2077",37,26.2233181082509
"2080",23,32.7466160869444
"2081",23,40.7926
"2082",23,34.4199729665406
"2083",23,33.2517023576097
"2099",23,32.2286597176369
"2104",64,31.9981714285714
"2107",37,48.3190976190476
"2111",69,54.4301142857143
"2113",56,31.9645250601457
"2114",37,40.4865666666667
"2116",37,35.5202852814026
"2117",37,37.434429004329
"2121",47,39.12455
"2123",56,39.1453519906156
"2125",37,38.5996983030197
"2127",2,57.7277891455178
"2131",56,41.2159937539073
"2132",6,42.0514222373497
"2136",23,48.3211951989187
"2139",6,34.9091032537753
"2143",23,31.5914126641742
"2146",23,39.7458856782107
"2149",23,37.0668105006105
"2155",56,33.2804311408301
"2164",37,39.9838476914183
"2169",23,25.8197247713702
"2177",62,41.7495571428571
"2180",23,30.7266252525252
"2184",69,41.1143365007542
"2191",19,43.4037865079365
"2199",23,34.0621296891997
"2202",2,28.9436700025465
"2203",74,28.425501110819
"2207",69,38.5996983030197
"2209",34,35.5873876254842
"2210",37,27.9757327039391
"2212",37,42.4277904761905
"2216",47,31.4901611336364
"2226",13,33.5458404761905
"2232",37,27.0821473888444
"2239",73,48.0645413987335
"2242",17,39.5738817460317
"2256",47,29.1447533758407
"2259",37,40.5785217354227
"2261",37,42.2834054957447
"2273",23,31.0195762149752
"2277",23,31.8271169094994
